"id","collection_id","status","action","type","created_at","last_updated_at","alias","user_id"
"301a3270-ec1d-4aa9-9cb5-cba42846a802","1f7f2587-e2f4-410e-bfc8-c511ae9c70b2","init","start","chat-with-data","2024-06-24 19:49:07","2024-07-09 15:30:21","Comprendre le Machine Learning et le Deep Learning",NULL
"3028f2f5-c24f-4310-81bd-abc3addb9d5b","85835e66-62e7-42ab-a9c9-d17d496e66d1","init","start","chat-with-data",NULL,NULL,NULL,NULL
"30585c3b-224a-4973-a5f3-66c744fff18b","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"306561bb-e0b2-4233-878f-edee9623ea8a","5e39bb9f-79cb-425b-ab0c-579d89c0f4c2","init","start","chat-with-data",NULL,NULL,NULL,NULL
"30c751d8-ad46-401c-b65c-c555ac039dfd","fe53c8ef-8ec2-4424-809c-d39a6540d85c","init","start","coach-ia","2024-07-30 17:20:01","2024-08-04 14:45:26","Planification de r3.12",NULL
"312f8001-2f54-4762-a30e-39d3066a585a","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"318750b2-e0d2-4d0e-b517-b1c25f881315","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"31dd5fbb-7336-4889-a0f1-b1a3e87c7d07","bb873ce7-c425-4f0f-8bfd-258600dd5636","init","start","coach-ia","2024-07-10 20:12:02","2024-07-11 21:47:16","Projet de territoire de Blois 2025-2050",NULL
"320c21ec-997e-41c1-975e-c898a3f7abd6","159470ea-8a05-4430-a1ef-46cb025af356","init","start","chat-with-data","2024-06-26 09:00:12","2024-06-26 10:10:18",NULL,NULL
"323de964-b18f-45e5-9135-4f65a0c6db74","f4709151-03b0-41bb-8fd7-8324d31ffcd0","init","start","chat-with-data","2024-07-14 13:27:48","2024-07-14 13:27:52","Analyse des Gains sur les Courses",NULL
"3254c668-50cb-4132-8ff5-2450a12e4665","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"32edba7d-31b2-45ce-b608-a74dd770f00d","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"3350e8b2-97b8-433b-b519-ddfd618c819f","edf2e53c-cdf6-4b4d-a776-f397e3688bf5","init","start","chat-with-data","2024-07-25 14:28:34","2024-07-25 14:28:55","Gestion des Utilisateurs",NULL
